"id","userId","sl_no","type","itemId","originId","amount","quantity","createdAt","updatedAt","stock","avgRate"
"0088e815-be6d-4c75-bac1-da35ef15dbe9","24b5aef6-9ed2-4a75-ad69-afa805d17749","22","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","c48bb4c9-b68b-4bb0-b0e7-ca68b700e4ae","221","17","2024-09-27 16:31:52.044","2024-09-30 12:38:56.981","321","12.92"
"013221d7-f16b-4ea6-a49e-72c194ea3507","785f39c4-0c76-4730-a663-e68df8e16bde","12","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","221","17","2024-09-27 12:48:49.358","2024-09-30 05:50:18.509","247","12.93"
"013eb419-15de-466f-a6f0-edd9fc4a437e","785f39c4-0c76-4730-a663-e68df8e16bde","7","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","156","12","2024-09-30 06:05:58.15","2024-09-30 06:05:58.15","48","12.99"
"0162c7bb-8c44-4764-8486-06d624f1048e","785f39c4-0c76-4730-a663-e68df8e16bde","10","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","513ccec2-2702-455c-8e17-caac1cdb996b","444","34","2024-09-27 12:19:58.608","2024-09-30 05:50:18.509","6","12.93"
"01f65d19-a057-4ed1-a212-3ae856915bb3","785f39c4-0c76-4730-a663-e68df8e16bde","22","SELL","c18c0ba0-0833-46d4-91cb-4239dfa99618","3a15ea2f-ac58-4668-97aa-7f71e2c04a53","42","1","2024-09-25 13:23:01.236","2024-09-30 05:50:18.509","477","43.09"
"021446db-0729-4a8f-aaaa-7ff4e717dbe1","785f39c4-0c76-4730-a663-e68df8e16bde","8","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","c48bb4c9-b68b-4bb0-b0e7-ca68b700e4ae","221","17","2024-09-29 11:10:13.276","2024-09-30 05:50:18.509","85","12.99"
"0359de60-00af-4510-9705-d729bc0ac3f7","0a486e2b-c76f-4f4f-8b8e-c4a6d71a9461","59","BUY","8c8257d0-878a-473e-a9d1-e3e3a73af043","c48bb4c9-b68b-4bb0-b0e7-ca68b700e4ae","1407","154","2024-09-25 20:51:49.685","2024-09-30 12:38:56.981","171","9.01"
"072aad66-3007-47e3-9a6e-fa052c9f4037","785f39c4-0c76-4730-a663-e68df8e16bde","53","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","130","10","2024-09-26 16:43:13.297","2024-09-30 12:38:56.981","104","12.98"
"07477e3b-5fcb-4867-8e29-be9fbec9d4e2","0a486e2b-c76f-4f4f-8b8e-c4a6d71a9461","24","BUY","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","1635","204","2024-09-30 13:45:08.114","2024-09-30 13:45:08.114","350","8.53"
"07b04dd9-323c-458b-a2db-5fb7d79ee5e8","0a486e2b-c76f-4f4f-8b8e-c4a6d71a9461","17","BUY","c331abe1-e7aa-4d31-9f10-11b98219cb66","f0f9c94d-1cdd-4f05-a5aa-cd93470b1f11","26800","500","2024-09-25 12:44:20.062","2024-09-30 05:50:18.509","500","53.59"
